"CASRN"	"DTXSID"	"Chemical_Name"	"LD50_mgkg"	"test_type"
"142459-58-3"	"DTXSID2032552"	"Flufenacet"	371	"point estimate"
"142459-58-3"	"DTXSID2032552"	"Flufenacet"	589	"limit test (greater than)"
"142459-58-3"	"DTXSID2032552"	"Flufenacet"	589	"point estimate"
"142459-58-3"	"DTXSID2032552"	"Flufenacet"	1365	"point estimate"
"142459-58-3"	"DTXSID2032552"	"Flufenacet"	1617	"limit test (less than)"
"142459-58-3"	"DTXSID2032552"	"Flufenacet"	1617	"point estimate"
"142459-58-3"	"DTXSID2032552"	"Flufenacet"	2072	"point estimate"
"142459-58-3"	"DTXSID2032552"	"Flufenacet"	2347	"point estimate"
"142469-14-5"	"DTXSID9057975"	"Tritosulfuron"	4700	"point estimate"
"14255-88-0"	"DTXSID2041969"	"Fenazaflor"	240	"point estimate"
"14260-40-3"	"DTXSID60162097"	"Acetamide, N-(4-(((methylamino)carbonyl)oxy)phenyl)-"	794	"point estimate"
"14271-02-4"	NA	NA	2000	"limit test (greater than)"
"142770-42-1"	"DTXSID50888976"	"9H-Thioxanthen-9-one, 1-chloro-4-propoxy-"	5000	"limit test (greater than)"
"142852-51-5"	NA	NA	334	"point estimate"
"14286-84-1"	NA	NA	414	"point estimate"
"142891-20-1"	"DTXSID1036753"	"Cinidon-ethyl"	2200	"limit test (greater than)"
"14297-81-5"	NA	NA	400	"point estimate"
"143-08-8"	"DTXSID6022008"	"1-Nonanol"	3200	"point estimate"
"143-08-8"	"DTXSID6022008"	"1-Nonanol"	3560	"point estimate"
"143-13-5"	"DTXSID4047123"	"Nonyl acetate"	5000	"limit test (greater than)"
"143-15-7"	"DTXSID2044395"	"1-Bromododecane"	2500	"limit test (greater than)"
"143-22-6"	"DTXSID7021520"	"2-[2-(2-Butoxyethoxy)ethoxy]ethanol"	5300	"point estimate"
"143-23-7"	"DTXSID4027109"	"N-(6-Aminohexyl)hexane-1,6-diamine"	450	"point estimate"
"143-24-8"	"DTXSID7044396"	"2,5,8,11,14-Pentaoxapentadecane"	3850	"point estimate"
"143-24-8"	"DTXSID7044396"	"2,5,8,11,14-Pentaoxapentadecane"	5140	"point estimate"
"143-33-9"	"DTXSID4024309"	"Sodium cyanide"	6.44	"point estimate"
"143-66-8"	"DTXSID2059728"	"Borate(1-), tetraphenyl-, sodium"	288	"point estimate"
"143-98-6"	"DTXSID8048997"	"Dextrorphan tartrate"	1100	"point estimate"
"143201-11-0"	"DTXSID0046488"	"Cerivastatin sodium"	416	"point estimate"
"143314-16-3"	"DTXSID2049218"	"1-Ethyl-3-methylimidazolium tetrafluoroborate"	2000	"limit test (greater than)"
"14334-41-9"	"DTXSID60162395"	"Pramiverin hydrochloride"	623	"point estimate"
"14338-82-0"	"DTXSID2065755"	"Acetic acid, 2,2'-[methylenebis(thio)]bis-, dibutyl ester"	2500	"limit test (greater than)"
"14338-82-0"	"DTXSID2065755"	"Acetic acid, 2,2'-[methylenebis(thio)]bis-, dibutyl ester"	10000	"limit test (less than)"
"143390-89-0"	"DTXSID2032558"	"Kresoxim-methyl"	5000	"limit test (greater than)"
"143418-49-9"	"DTXSID60370438"	"3,4,5-Trifluorophenylboronic acid"	300	"limit test (greater than)"
"143418-49-9"	"DTXSID60370438"	"3,4,5-Trifluorophenylboronic acid"	2000	"limit test (less than)"
"1435-71-8"	"DTXSID6027399"	"Phenol, 4-methyl-2-[(2-nitrophenyl)azo]-"	2000	"limit test (greater than)"
"14352-61-5"	"DTXSID60162451"	"Methylcyclohexylacetate"	2000	"limit test (greater than)"
"14352-61-5"	"DTXSID60162451"	"Methylcyclohexylacetate"	2500	"point estimate"
"14355-07-8"	NA	NA	147	"point estimate"
"14355-12-5"	NA	NA	584	"point estimate"
"14358-50-0"	NA	NA	1280	"point estimate"
"143692-40-4"	NA	NA	200	"point estimate"
"143692-53-9"	NA	NA	600	"limit test (greater than)"
"14370-50-4"	NA	NA	1410	"point estimate"
"1438-20-6"	NA	NA	432	"point estimate"
"144-12-7"	"DTXSID00875078"	"Tiemonium Iodide"	2295	"point estimate"
"144-19-4"	"DTXSID8027113"	"2,2,4-Trimethyl-1,3-pentanediol"	2000	"limit test (greater than)"
"144-19-4"	"DTXSID8027113"	"2,2,4-Trimethyl-1,3-pentanediol"	2000	"point estimate"
"144-39-8"	"DTXSID1047574"	"3,7-Dimethylocta-1,6-dien-3-yl propanoate"	5000	"limit test (greater than)"
"144-41-2"	"DTXSID9042172"	"Morphothion"	190	"point estimate"
"144-49-0"	"DTXSID0041981"	"Fluoroacetic acid"	4.68	"point estimate"
"144-62-7"	"DTXSID0025816"	"Oxalic acid"	7500	"point estimate"
"144-82-1"	"DTXSID5023615"	"Sulfamethizole"	3500	"point estimate"
"144077-07-6"	NA	NA	1914	"point estimate"
"14417-88-0"	"DTXSID9048809"	"Melinamide"	40000	"limit test (greater than)"
"14419-01-3"	"DTXSID7042144"	"Methyl 2,3,5,6-tetrachloro-N-methoxy-N-methylterephthalamate"	1170	"point estimate"
"14433-76-2"	"DTXSID1027764"	"N,N-Dimethyldecanamide"	2000	"limit test (greater than)"
"14437-17-3"	"DTXSID5041770"	"Chlorfenprop-methyl"	1072	"point estimate"
"1445-23-4"	"DTXSID00162733"	"3,4-Xylenol, 6-tert-butyl-"	1030	"point estimate"
"1445-75-6"	"DTXSID5024051"	"Diisopropyl methylphosphonate"	826	"point estimate"
"1445870-18-7"	NA	NA	2000	"limit test (greater than)"
"144598-75-4"	"DTXSID7049059"	"Paliperidone"	65	"point estimate"
"144651-06-9"	"DTXSID4034364"	"Oxasulfuron"	5000	"limit test (greater than)"
"144740-53-4"	"DTXSID80162796"	"Flupyrsulfuron-methyl [ISO]"	5000	"limit test (greater than)"
"14489-75-9"	"DTXSID00162834"	"N-Methyl-N-naphthylmethylamine"	50	"limit test (greater than)"
"14489-75-9"	"DTXSID00162834"	"N-Methyl-N-naphthylmethylamine"	50	"point estimate"
"14489-75-9"	"DTXSID00162834"	"N-Methyl-N-naphthylmethylamine"	300	"limit test (less than)"
"14491-59-9"	"DTXSID3074525"	"Pyridazine, 3-(2-methylphenoxy)-"	3090	"point estimate"
"145-39-1"	"DTXSID9044582"	"1-tert-Butyl-3,4,5-trimethyl-2,6-dinitrobenzene"	6000	"limit test (greater than)"
"145-41-5"	"DTXSID00883335"	"Cholan-24-oic acid, 3,7,12-trioxo-, sodium salt, (5.beta.)-"	3755	"point estimate"
"145-73-3"	"DTXSID7024081"	"Endothal"	38	"limit test (greater than)"
"145-73-3"	"DTXSID7024081"	"Endothal"	38	"point estimate"
"145-73-3"	"DTXSID7024081"	"Endothal"	46	"point estimate"
"145-73-3"	"DTXSID7024081"	"Endothal"	51	"limit test (less than)"
"145-73-3"	"DTXSID7024081"	"Endothal"	57	"point estimate"
"145-73-3"	"DTXSID7024081"	"Endothal"	182	"limit test (greater than)"
"145-73-3"	"DTXSID7024081"	"Endothal"	197	"limit test (less than)"
"145-73-3"	"DTXSID7024081"	"Endothal"	206	"point estimate"
"145022-45-3"	"DTXSID7049219"	"1-Ethyl-3-methylimidazolium methanesulfonate"	2000	"limit test (greater than)"
"14504-15-5"	"DTXSID5020158"	"3-Benzylsydnone-4-acetamide"	4450	"point estimate"
"14504-73-5"	NA	NA	15000	"limit test (greater than)"
"145040-37-5"	"DTXSID5020239"	"Candesartan cilexetil"	2000	"limit test (greater than)"
"145071-30-3"	NA	NA	200	"point estimate"
"145071-49-4"	NA	NA	1000	"limit test (greater than)"
"14520-53-7"	"DTXSID00162935"	"Benzamide, o-(allyloxy)- (6CI,7CI)"	780	"point estimate"
"14527-26-5"	NA	NA	800	"point estimate"
"1453-58-3"	"DTXSID3073260"	"3-Methylpyrazole"	300	"limit test (greater than)"
"1453-58-3"	"DTXSID3073260"	"3-Methylpyrazole"	710	"point estimate"
"1453-58-3"	"DTXSID3073260"	"3-Methylpyrazole"	2000	"limit test (less than)"
"1455-42-1"	"DTXSID1075434"	"2,4,8,10-Tetraoxaspiro[5.5]undecane-3,9-diethanol, .beta.,.beta.,.beta.',.beta.'-tetramethyl-"	2500	"limit test (greater than)"
"145650-60-8"	"DTXSID6051728"	"Bis(2,4-di-tert-butyl-6-methylphenyl)ethyl phosphite"	2000	"limit test (greater than)"
"145701-23-1"	"DTXSID7044340"	"Florasulam"	5000	"limit test (greater than)"
"1459-93-4"	"DTXSID8027402"	"Dimethyl isophthalate"	2000	"limit test (greater than)"
"1459-93-4"	"DTXSID8027402"	"Dimethyl isophthalate"	4390	"point estimate"
"146-22-5"	"DTXSID5023372"	"Nitrazepam"	825	"point estimate"
"14605-22-2"	NA	NA	5000	"limit test (greater than)"
"14628-06-9"	"DTXSID90163335"	"Carbamic acid, methyl-, (2-methyl-8-quinolyl) ester"	120	"point estimate"
"14631-45-9"	NA	NA	2860	"point estimate"
"1464-53-5"	"DTXSID0041307"	"2,2'-Bioxirane"	78	"point estimate"
"1464-69-3"	"DTXSID00883678"	"2-Propenoic acid, 2-methyl-, 2-(ethenyloxy)ethyl ester"	5940	"point estimate"
"14641-96-4"	NA	NA	1100	"point estimate"
"1465-26-5"	NA	NA	52	"point estimate"
"14652-09-6"	NA	NA	3200	"point estimate"
"1466-82-6"	"DTXSID90163416"	"Acetylsalicylic anhydride"	2200	"point estimate"
"14663-23-1"	"DTXSID4044585"	"Dantrolene sodium"	7432	"point estimate"
"14663-66-2"	NA	NA	63	"point estimate"
"14663-67-3"	NA	NA	80	"point estimate"
"14663-71-9"	"DTXSID00163427"	"Phosphoric acid, bis(3-chloropropyl) p-nitrophenyl ester"	33	"point estimate"
"14663-72-0"	NA	NA	173	"point estimate"
"14667-55-1"	"DTXSID1047075"	"2,3,5-Trimethylpyrazine"	806	"point estimate"
"1467-79-4"	"DTXSID9025116"	"Dimethyl cyanamide"	146	"point estimate"
"146764-26-3"	"DTXSID90163471"	"Octadecyl-(2-(N-methylpiperidino)ethyl)phosphate"	631	"point estimate"
"14679-73-3"	"DTXSID0045048"	"Todralazine"	318	"point estimate"
"14689-51-1"	"DTXSID90163532"	"Benzimidazole, 4-nitro-2-(trifluoromethyl)-"	10.565	"point estimate"
"14689-56-6"	"DTXSID50163533"	"Benzimidazole, 5,7-dibromo-4,6-dichloro-2-(trifluoromethyl)-"	3.434	"point estimate"
"14689-57-7"	"DTXSID10163534"	"Benzimidazole, 4,6-diiodo-2-(trifluoromethyl)-"	30	"point estimate"
"14689-58-8"	"DTXSID70163535"	"Benzimidazole, 5-bromo-4-nitro-2-(trifluoromethyl)-"	13.533	"point estimate"
"14689-59-9"	"DTXSID30163536"	"Benzimidazole, 5,6-dibromo-4,7-dichloro-2-(trifluoromethyl)-"	3.434	"point estimate"
"14689-97-5"	"DTXSID50163538"	"Acetaldehyde, bis(2-chloroethyl) acetal (6CI,7CI,8CI)"	310	"point estimate"
"14697-46-2"	NA	NA	7800	"point estimate"
"14698-29-4"	"DTXSID1021089"	"Oxolinic acid"	525	"point estimate"
"147-24-0"	"DTXSID4020537"	"Diphenhydramine hydrochloride"	500	"point estimate"
"147-47-7"	"DTXSID0025070"	"1,2-Dihydro-2,2,4-trimethylquinoline"	2000	"point estimate"
"147-61-5"	"DTXSID20163560"	"Pentoxyl"	5000	"point estimate"
"147-84-2"	"DTXSID3045017"	"Ditiocarb"	1000	"point estimate"
"1470-35-5"	NA	NA	150	"point estimate"
"1470-37-7"	NA	NA	745	"point estimate"
"1470-94-6"	"DTXSID0051732"	"Indan-5-ol"	3250	"point estimate"
"1471-51-8"	"DTXSID90163592"	"1,3-Propanediol, 2-butyl-2-ethyl-, dicarbamate"	662	"point estimate"
"1471-52-9"	"DTXSID50163593"	"1,3-Propanediol, 2,2-dimethyl-, dicarbamate"	2508	"point estimate"
"147126-62-3"	NA	NA	2000	"limit test (greater than)"
"147150-35-4"	"DTXSID8034372"	"Cloransulam-methyl"	5000	"limit test (greater than)"
"147160-51-8"	"DTXSID60163600"	"1H-Pyrazole-1-carboxamide, N,N'-1,6-hexanediylbis(3(or 5)-methyl-"	4850	"point estimate"
"147160-52-9"	"DTXSID20163601"	"1H-Pyrazole-1-carboxamide, N,N'-1,4-butanediylbis(3(or 5)-methyl-"	4600	"point estimate"
"14731-78-3"	NA	NA	948	"point estimate"
"147315-50-2"	"DTXSID4051299"	"2-(4,6-Diphenyl-s-triazin-2-yl)-5-hexyloxyphenol"	2000	"limit test (greater than)"
"14733-73-4"	"DTXSID50163679"	"2-Benzoxazolinone, 5-bromo-"	1050	"point estimate"
"14733-77-8"	"DTXSID80163682"	"2-Benzoxazolinone, 5-amino-"	1000	"limit test (greater than)"
"14734-96-4"	NA	NA	38	"point estimate"
"14736-30-2"	NA	NA	1400	"point estimate"
"1474-80-2"	"DTXSID7074535"	"P,P-Diamidodiphosphoric acid, N,N,N',N'-tetramethyl-, diethyl ester"	3.8	"point estimate"
"14745-61-0"	"DTXSID80163723"	"Coumarin, 3-chloro-7-hydroxy-4-methyl-, bis(4-chlorobutyl)phosphate"	100	"limit test (greater than)"
"14759-04-7"	NA	NA	1130	"point estimate"
"14759-05-8"	NA	NA	2000	"limit test (greater than)"
"1476-98-8"	NA	NA	369	"point estimate"
"14763-60-1"	"DTXSID80163763"	"4-Hydroxyphenyl methyl sulfone"	3160	"point estimate"
"14763-62-3"	"DTXSID4041496"	"4-(Methylsulfonyl)-3,5-xylenol"	1000	"limit test (greater than)"
"14765-30-1"	"DTXSID4041818"	"2-sec-Butylcyclohexanone"	2400	"point estimate"
"14769-73-4"	"DTXSID4023206"	"Levamisole"	480	"point estimate"
"1477-19-6"	"DTXSID2061721"	"Methanone, (2-ethyl-3-benzofuranyl)(4-hydroxyphenyl)-"	12000	"limit test (greater than)"
"1477-79-8"	NA	NA	185	"point estimate"
"1478-61-1"	"DTXSID7037717"	"Bisphenol AF"	3400	"point estimate"
"14788-97-7"	NA	NA	75	"point estimate"
"148-01-6"	"DTXSID6042521"	"Zoalene"	600	"point estimate"
"148-18-5"	"DTXSID3022956"	"Sodium diethyldithiocarbamate"	1500	"point estimate"
"148-18-5"	"DTXSID3022956"	"Sodium diethyldithiocarbamate"	2830	"point estimate"
"148-24-3"	"DTXSID5020730"	"8-Hydroxyquinoline"	1200	"point estimate"
"148-69-6"	"DTXSID5051735"	"3-(Ethyl(3-methylphenyl)amino)propanenitrile"	3710	"point estimate"
"148-72-1"	"DTXSID80883277"	"2(3H)-Furanone, 3-ethyldihydro-4-[(1-methyl-1H-imidazol-5-yl)methyl]-, (3S,4R)-, nitrate (1:1)"	911	"point estimate"
"148-79-8"	"DTXSID0021337"	"Thiabendazole"	2080	"point estimate"
"148-79-8"	"DTXSID0021337"	"Thiabendazole"	3100	"point estimate"
"148-82-3"	"DTXSID6020804"	"Melphalan"	11.2	"point estimate"
"148-82-3"	"DTXSID6020804"	"Melphalan"	13	"point estimate"
"148-82-3"	"DTXSID6020804"	"Melphalan"	16	"point estimate"
"148-97-0"	"DTXSID3047215"	"1-Hydroxy-2-oxo-1-phenylhydrazine"	490	"point estimate"
"14814-09-6"	"DTXSID7044479"	"3-(Triethoxysilyl)propane-1-thiol"	6108	"point estimate"
"14816-18-3"	"DTXSID8034324"	"Phoxim"	300	"point estimate"
"14816-20-7"	"DTXSID9057979"	"Chlorphoxim"	5000	"limit test (greater than)"
"14817-09-5"	"DTXSID70163893"	"Decimemide"	1650	"point estimate"
"1483-72-3"	"DTXSID60883679"	"Iodonium, diphenyl-, chloride (1:1)"	60	"point estimate"
"14838-15-4"	"DTXSID4023466"	"Phenylpropanolamine"	1490	"point estimate"
"14845-06-8"	"DTXSID60163988"	"3,5-Pyrazolidinedione, 1,2-diphenyl-4-ethyl-"	750	"point estimate"
"14845-08-0"	NA	NA	1500	"limit test (greater than)"
"148504-51-2"	"DTXSID10164001"	"Ripisartan"	300	"limit test (greater than)"
"14852-17-6"	"DTXSID8065824"	"1,2-Ethanediamine, phosphate"	2000	"limit test (greater than)"
"14858-73-2"	NA	NA	2000	"limit test (greater than)"
"1486-39-1"	"DTXSID90164029"	"Phosphorotrithioic acid, S,S,S-triethyl ester"	200	"limit test (greater than)"
"14860-53-8"	"DTXSID3029732"	"Phosphonic acid, (1-hydroxyethylidene)bis-, tetrapotassium salt"	520	"point estimate"
"14860-89-0"	"DTXSID40164034"	"Benzenemethanol, alpha,alpha-dimethyl-3-(1-methylethyl)- (9CI)"	6000	"point estimate"
"14861-06-4"	NA	NA	6500	"point estimate"
"14863-40-2"	"DTXSID80164038"	"Benzimidazole, 6-chloro-5-methyl-2-(trifluoromethyl)-"	55	"point estimate"
"14863-50-4"	"DTXSID40164039"	"Benzimidazole, 4,6-dichloro-5,7-dinitro-2-(trifluoromethyl)-"	117	"point estimate"
"149-29-1"	"DTXSID2021101"	"Patulin"	27.79	"point estimate"
"149-29-1"	"DTXSID2021101"	"Patulin"	27.8	"point estimate"
"149-30-4"	"DTXSID1020807"	"2-Mercaptobenzothiazole"	100	"point estimate"
"149-32-6"	"DTXSID6043919"	"Erythritol"	13100	"point estimate"
"149-32-6"	"DTXSID6043919"	"Erythritol"	13500	"point estimate"
"149-32-6"	"DTXSID6043919"	"Erythritol"	18000	"limit test (greater than)"
"149-44-0"	"DTXSID7027120"	"Sodium hydroxymethanesulfinate"	2000	"limit test (greater than)"
"149-44-0"	"DTXSID7027120"	"Sodium hydroxymethanesulfinate"	5000	"limit test (greater than)"
"149-57-5"	"DTXSID9025293"	"2-Ethylhexanoic acid"	1600	"limit test (greater than)"
"149-57-5"	"DTXSID9025293"	"2-Ethylhexanoic acid"	2043	"point estimate"
"149-57-5"	"DTXSID9025293"	"2-Ethylhexanoic acid"	3000	"point estimate"
"149-57-5"	"DTXSID9025293"	"2-Ethylhexanoic acid"	3200	"limit test (less than)"
"149-64-4"	"DTXSID1022718"	"Butylscopolammonium bromide"	1040	"point estimate"
"149-74-6"	"DTXSID6029173"	"Dichloromethylphenylsilane"	200	"limit test (greater than)"
"149-74-6"	"DTXSID6029173"	"Dichloromethylphenylsilane"	2000	"point estimate"
"1490-04-6"	"DTXSID8029650"	"Menthol"	2046	"point estimate"
"1490-04-6"	"DTXSID8029650"	"Menthol"	2426	"limit test (greater than)"
"1490-04-6"	"DTXSID8029650"	"Menthol"	2602	"point estimate"
"1490-04-6"	"DTXSID8029650"	"Menthol"	2615	"limit test (less than)"
"1490-04-6"	"DTXSID8029650"	"Menthol"	2900	"point estimate"
"1490-04-6"	"DTXSID8029650"	"Menthol"	3180	"point estimate"
"1490-04-6"	"DTXSID8029650"	"Menthol"	3300	"point estimate"
"14901-07-6"	"DTXSID9025451"	"4-(2,6,6-Trimethyl-cyclohex-1-enyl)-but-3-en-2-one"	4590	"point estimate"
"14901-08-7"	"DTXSID2057574"	"Cycasin"	270	"point estimate"
"1491-41-4"	"DTXSID2042193"	"Naftalofos"	70	"point estimate"
"1491-59-4"	"DTXSID3040691"	"Oxymetazoline"	0.8	"point estimate"
"14919-77-8"	"DTXSID0045412"	"Benserazide hydrochloride"	5300	"point estimate"
"1492-02-0"	"DTXSID6023103"	"Glybuzole"	500	"point estimate"
"14929-11-4"	"DTXSID8057647"	"Cholesolvin"	7300	"point estimate"
"1493-13-6"	"DTXSID2044397"	"Trifluoromethanesulfonic acid"	500	"limit test (greater than)"
"1493-13-6"	"DTXSID2044397"	"Trifluoromethanesulfonic acid"	1605.3	"point estimate"
"1493-13-6"	"DTXSID2044397"	"Trifluoromethanesulfonic acid"	2000	"limit test (less than)"
"14938-42-2"	"DTXSID00164257"	"9,10-Anthraquinone-1,8-disulfonate dipotassium salt"	15000	"point estimate"
"149543-07-7"	NA	NA	363	"point estimate"
"14959-86-5"	"DTXSID10884777"	"7-Dodecen-1-ol, acetate, (7Z)-"	13430	"point estimate"
"1496-94-2"	"DTXSID1061732"	"Phosphine oxide, tripropyl-"	1410	"point estimate"
"14960-06-6"	"DTXSID7041207"	"beta-Alanine, N-(2-carboxyethyl)-N-dodecyl-, monosodium salt"	31300	"point estimate"
"1497-39-8"	NA	NA	95	"point estimate"
"14974-71-1"	NA	NA	32	"point estimate"
"1498-51-7"	"DTXSID3027407"	"Ethyl dichlorophosphate"	220	"point estimate"
"1498-64-2"	"DTXSID6061733"	"O-Ethyl dichlorothiophosphate"	900	"point estimate"
"14984-58-8"	"DTXSID20164411"	"Phosphoric acid, p-aminophenyl diethyl ester"	1000	"point estimate"
"14984-68-0"	"DTXSID5045413"	"Cloperastine hydrochloride"	1986	"point estimate"
"149877-41-8"	"DTXSID5032525"	"Bifenazate"	5000	"limit test (greater than)"
"149961-52-4"	"DTXSID3057981"	"Dimoxystrobin"	5000	"limit test (greater than)"
"149968-48-9"	"DTXSID50772422"	"N-[3-(Dimethylamino)propyl]docos-13-enamide"	2000	"limit test (greater than)"
"149979-41-9"	"DTXSID7034252"	"Tepraloxydim"	5000	"limit test (greater than)"
"150-19-6"	"DTXSID0022012"	"3-Methoxyphenol"	597	"point estimate"
"150-38-9"	"DTXSID7020556"	"Trisodium ethylenediaminetetraacetate"	2150	"point estimate"
"150-50-5"	"DTXSID6024173"	"Merphos"	910	"point estimate"
"150-50-5"	"DTXSID6024173"	"Merphos"	1300	"point estimate"
"150-50-5"	"DTXSID6024173"	"Merphos"	1475	"point estimate"
"150-68-5"	"DTXSID0020311"	"Monuron"	1053	"point estimate"
"150-69-6"	"DTXSID9020580"	"Dulcin"	1900	"point estimate"
"150-69-6"	"DTXSID9020580"	"Dulcin"	3200	"point estimate"
"150-69-6"	"DTXSID9020580"	"Dulcin"	4900	"point estimate"
"150-76-5"	"DTXSID4020828"	"4-Methoxyphenol"	1600	"point estimate"
"150-78-7"	"DTXSID0022014"	"Hydroquinone dimethyl ether"	3600	"point estimate"
"150-86-7"	"DTXSID1040586"	"Phytol"	5000	"limit test (greater than)"
"1501-84-4"	"DTXSID1047813"	"Rimantadine hydrochloride"	640	"point estimate"
"150114-71-9"	"DTXSID2034330"	"Aminopyralid"	5000	"limit test (greater than)"
"15037-58-8"	"DTXSID60164531"	"Carbamic acid, methyl-, 4-allyl-2-methoxyphenyl ester"	250	"point estimate"
"15037-62-4"	"DTXSID20164532"	"Phosphorothioic acid, O,O-dimethyl O-thymyl ester"	750	"point estimate"
"15037-64-6"	"DTXSID80164533"	"Phosphorothioic acid, O-(4-allyl-2-methoxyphenyl) O,O-dimethyl ester"	250	"point estimate"
"15037-65-7"	NA	NA	250	"point estimate"
"1504-74-1"	NA	NA	5000	"limit test (greater than)"
"150433-14-0"	NA	NA	1056	"point estimate"
"1505-95-9"	NA	NA	1030	"point estimate"
"1508-75-4"	"DTXSID8045220"	"Tropicamide"	865	"point estimate"
"150824-47-8"	"DTXSID8041080"	"(E)-Nitenpyram"	1575	"point estimate"
"151-05-3"	"DTXSID3041877"	"Dimethylbenzylcarbinyl acetate"	3300	"point estimate"
"151-06-4"	"DTXSID1047815"	"Chlorphentermine hydrochloride"	150	"point estimate"
"151-41-7"	"DTXSID0042088"	"Lauryl sulfate"	1300	"point estimate"
"151-50-8"	"DTXSID0024268"	"Potassium cyanide"	5	"point estimate"
"151-50-8"	"DTXSID0024268"	"Potassium cyanide"	7.49	"point estimate"
"151-50-8"	"DTXSID0024268"	"Potassium cyanide"	9.69	"point estimate"
"151-50-8"	"DTXSID0024268"	"Potassium cyanide"	10	"point estimate"
"151-50-8"	"DTXSID0024268"	"Potassium cyanide"	12.5	"point estimate"
"151-56-4"	"DTXSID8020599"	"Ethyleneimine"	15	"point estimate"
"151-67-7"	"DTXSID4025371"	"Halothane"	5680	"point estimate"
"1511-67-7"	"DTXSID50164707"	"Methylphosphonfluoridate"	300	"point estimate"
"15112-89-7"	"DTXSID00884786"	"Silanetriamine, N,N,N',N',N'',N''-hexamethyl-"	594	"point estimate"
"15121-11-6"	"DTXSID60884787"	"1,3,2-Dioxathiolane, 4-(chloromethyl)-, 2-oxide"	30	"limit test (greater than)"
"15129-36-9"	"DTXSID40164751"	"1,6-Hexanediamine, N-((triethoxysilyl)methyl)-"	500	"point estimate"
"151327-04-7"	"DTXSID20164759"	"Pyrazolo(1,5-a)pyrimidin-7-amine, N-(2-(4-morpholinyl)ethyl)-5-propyl-6-((2'-(1H-tetrazol-5-yl)(1,1'-biphenyl)-4-yl)methyl)-"	300	"limit test (greater than)"
"151327-07-0"	"DTXSID30164760"	"Pyrazolo(1,5-a)pyrimidine, 7-chloro-5-propyl-6-((2'-(1H-tetrazol-5-yl)(1,1'-biphenyl)-4-yl)methyl)-"	300	"limit test (greater than)"
"151327-11-6"	"DTXSID50164762"	"Pyrazolo(1,5-a)pyrimidin-7-amine, 5-propyl-N-(2-(1-pyrrolidinyl)ethyl)-6-((2'-(1H-tetrazol-5-yl)(1,1'-biphenyl)-4-yl)methyl)-"	300	"limit test (greater than)"
"151327-12-7"	"DTXSID10164763"	"Pyrazolo(1,5-a)pyrimidin-7-amine, 5-propyl-6-((2'-(1H-tetrazol-5-yl)(1,1'-biphenyl)-4-yl)methyl)-"	300	"limit test (greater than)"
"15148-80-8"	NA	NA	518	"point estimate"
"1515-76-0"	NA	NA	710	"point estimate"
"1516-01-4"	"DTXSID8073263"	"2,4-Hexadienenitrile"	712	"point estimate"
"1516-67-2"	"DTXSID20164815"	"Phosphorazidothioic acid, O,O-diethyl ester"	5	"point estimate"
"15165-67-0"	"DTXSID0034851"	"Dichlorprop-P"	567	"point estimate"
"15165-67-0"	"DTXSID0034851"	"Dichlorprop-P"	825	"limit test (greater than)"
"151789-06-9"	"DTXSID8029860"	"1-Propanamine, 3-(C11-14-isoalkyloxy) derivs., C13-rich"	300	"point estimate"
"151789-06-9"	"DTXSID8029860"	"1-Propanamine, 3-(C11-14-isoalkyloxy) derivs., C13-rich"	2000	"limit test (less than)"
"15180-03-7"	"DTXSID0045414"	"Alcuronium chloride"	27.6	"point estimate"
"15180-47-9"	"DTXSID60164879"	"Ethanamine, N-ethyl-N-((triethoxysilyl)methyl)-"	3000	"limit test (greater than)"
"152-02-3"	"DTXSID9023205"	"Levallorphan"	949	"point estimate"
"152-11-4"	"DTXSID2034095"	"Verapamil hydrochloride"	108	"point estimate"
"152-11-4"	"DTXSID2034095"	"Verapamil hydrochloride"	114	"point estimate"
"152-16-9"	"DTXSID0042373"	"Schradan"	5	"point estimate"
"152-16-9"	"DTXSID0042373"	"Schradan"	13.5	"point estimate"
"152-16-9"	"DTXSID0042373"	"Schradan"	35.5	"point estimate"
"152-20-5"	"DTXSID90164928"	"O,O,S-Trimethyl phosphorothioate"	15	"point estimate"
"152-62-5"	"DTXSID1022974"	"Dydrogesterone"	4600	"limit test (greater than)"
"152-72-7"	"DTXSID2022541"	"Acenocoumarol"	513	"point estimate"
"15206-55-0"	"DTXSID9065867"	"Benzeneacetic acid, .alpha.-oxo-, methyl ester"	6800	"point estimate"
"15206-55-0"	"DTXSID9065867"	"Benzeneacetic acid, .alpha.-oxo-, methyl ester"	10000	"limit test (less than)"
"15208-16-9"	NA	NA	15000	"limit test (greater than)"
"15214-89-8"	"DTXSID5027770"	"2-Acrylamido-2-methyl-1-propanesulfonic acid"	1830	"point estimate"
"15214-89-8"	"DTXSID5027770"	"2-Acrylamido-2-methyl-1-propanesulfonic acid"	5400	"point estimate"
"15217-42-2"	"DTXSID4065868"	"1H-Benzotriazole, sodium salt"	300	"limit test (greater than)"
"15217-42-2"	"DTXSID4065868"	"1H-Benzotriazole, sodium salt"	2000	"limit test (less than)"
"1522-41-4"	"DTXSID70282119"	"Ethyl 2-fluoroacetoacetate"	50	"limit test (greater than)"
"1522-41-4"	"DTXSID70282119"	"Ethyl 2-fluoroacetoacetate"	300	"limit test (less than)"
